id,classes
852,굴비구이
853,꽁치구이
854,닭날개구이
855,소내장구이
856,오리고기로스
857,옥돔구이
858,옥수수구이
859,전어구이
860,넙치구이
861,느타리버섯구이
862,닭꼬치구이
863,도다리구이
864,동태양념구이
865,돼지고기꼬치구이
866,돼지고기스테이크
867,민어구이
868,베이컨떡말이구이
869,병어구이
870,북어양념구이
871,새송이버섯구이
872,서대구이
873,소갈비구이
874,소곱창구이
875,소등심스테이크
876,소등심구이
877,소안심스테이크
878,쑥전(부침개)
879,양태구이
880,오징어불고기
881,우럭구이
882,우엉양념구이
883,은대구구이
884,장어양념구이
885,적어구이
886,전갱이구이
887,조기양념구이
888,조기오븐구이
889,조미김구이
890,채소꼬치구이
891,청어구이
892,칠면조구이
893,키조개구이
894,햄구이
895,새송이버섯전
896,어육소시지전
897,장떡
898,파래전
899,녹두전
900,떡산적
901,모듬채소전
902,소고기완자전
903,애호박부침개
904,양파소고기전
905,어묵전
906,오믈렛
907,옥수수부침
908,해물완자전
909,가지볶음
910,멸치볶음(멸치만)
911,새송이버섯볶음
912,오리볶음
913,중식잡채
914,쫄볶이
915,표고버섯볶음
916,햄채소볶음
917,호박볶음
918,김치돼지고기볶음
919,꽈리고추볶음
920,낙지삼겹살볶음
921,닭볶음
922,두부볶음
923,매운어묵볶음
924,모듬버섯볶음
925,버섯잡채
926,베이컨채소볶음
927,브로콜리버섯볶음
928,소간채소볶음
929,소고기채소볶음
930,소곱창볶음
931,소시지케첩볶음
932,양송이버섯볶음
933,어묵감자볶음
934,어묵잡채
935,우엉볶음
936,제육볶음
937,콩나물잡채
938,피망볶음
939,호박고지볶음
940,갈치조림
941,달걀조림
942,닭도리탕
943,건갈치조림
944,건꼴뚜기조림
945,게조림
946,고구마조림
947,곤약조림
948,꽈리고추조림
949,다시마조림
950,단호박조림
951,도루묵조림
952,돼지고기장조림
953,마늘쫑조림
954,메추리알돼지고기장조림
955,메추리알어묵조림
956,메추리알장조림
957,모듬콩조림
958,새우조림
959,소고기장조림
960,완자조림
961,적어조림
962,전어조림
963,콩조림
964,깐쇼새우
965,가자미튀김
966,가지탕수
967,갈치튀김
968,게맛살튀김
969,고구마깻잎튀김
970,고등어튀김
971,김부각
972,깐풍기
973,깻잎튀김
974,꽁치튀김
975,느타리버섯튀김
976,달걀튀김
977,닭강정
978,닭고기탕수
979,대구튀김
980,도라지튀김
981,도미튀김
982,동태튀김
983,돼지갈비강정
984,돼지고기강정
985,돼지고기튀김
986,두부탕수
987,두부튀김
988,등심돈가스
989,비프까스
990,새우탕수
991,소고기튀김
992,소시지튀김
993,식빵튀김
994,쑥튀김
995,양념돼지고기튀김
996,어묵튀김
997,연근튀김
998,오징어탕수
999,우럭튀김
1000,임연수튀김
1001,잔멸치튀김
1002,조기튀김
1003,채소튀김
1004,탕수어
1005,시래기나물
1006,청경채나물
1007,톳나물
1008,고사리나물
1009,고춧잎나물
1010,근대나물
1011,냉이초나물
1012,도라지나물
1013,머위나물
1014,모듬배추나물
1015,무나물
1016,무청나물
1017,민들레무침
1018,방풍나물
1019,부추나물
1020,비름나물
1021,쑥갓나물
1022,씀바귀나물
1023,애호박나물
1024,양배추초나물
1025,얼갈이나물
1026,오이나물
1027,토란대나물
1028,간재미회무침
1029,개고기무침
1030,곤약무침
1031,과일샐러드
1032,도토리묵무침
1033,돌나물
1034,마늘장아찌무침
1035,얼갈이겉절이
1036,참나물겉절이
1037,청포묵무침
1038,가오리회무침
1039,감자샐러드
1040,겨자채
1041,단호박샐러드
1042,달걀샐러드
1043,닭가슴살샐러드
1044,닭고기냉채
1045,닭튀김샐러드
1046,두부냉채
1047,마늘쫑장아찌무침
1048,마카로니샐러드
1049,메밀묵무침
1050,멕시컨샐러드
1051,문어무침
1052,미역오이무침
1053,뱅어포무침
1054,부추겉절이
1055,부추채소무침
1056,부추초무침
1057,브로콜리두부무침
1058,브로콜리무침
1059,삼색냉채
1060,새싹샐러드
1061,새우무침
1062,소라무침
1063,시금치겉절이
1064,쑥갓오이무침
1065,양념도토리묵
1066,양배추겉절이
1067,양배추샐러드
1068,양배추부추무침
1069,양상추샐러드
1070,어묵오이무침
1071,오이도라지생채
1072,오이고추된장무침
1073,오이부추무침
1074,옥수수샐러드
1075,유채무침
1076,쥐포무침
1077,짜사이무침
1078,참나물무침
1079,참치샐러드
1080,천사채무침
1081,치커리무침
1082,콩나물느타리무침
1083,콩나물냉채
1084,해파리냉채
1085,햄샐러드
1086,홍어회무침
1087,가지김치
1088,섞박지
1089,양념채김치
1090,오이물김치
1091,양념바지락젓
1092,양념새우젓
1093,양념오징어젓
1094,무말랭이장아찌
1095,무숙장아찌
1096,짜장소스
1097,고춧가루양념장
1098,기름장
1099,쌈장
1100,초간장
1101,팥빙수
1102,두유카페라떼
1103,딸기넥타
1104,딸기바나나스무디
1105,미숫가루(선식)음료
1106,수박화채
1107,아이스카페라떼
1108,아이스카페모카
1109,율무차
1110,카페라떼
1111,카페모카
1112,커피(타먹는커피)
1113,감자범벅
1114,파강회
1115,모듬회
1116,고구마밥
1117,밤밥
1118,소고기덮밥
1119,채소밥
1120,김치고기만두
1121,감자스프
1122,들깨죽
1123,애호박죽
1124,찹쌀죽
1125,흰죽
1126,들깨국
1127,소고기육개장
1128,굴미역국
1129,달래된장국
1130,대합미역국
1131,바지락국
1132,소고기무국
1133,애호박감자된장국
1134,양배추된장국
1135,열무된장국
1136,유부된장국
1137,청포묵국
1138,콩나물된장국
1139,호박잎된장국
1140,홍합무국
1141,굴두부찌개
1142,두부명란찌개
1143,두부애호박찌개
1144,명란찌개
1145,소고기떡찜
1146,소사태찜
1147,삼치양념구이
1148,삼치카레구이
1149,햄전
1150,연근전
1151,참치완자전
1152,해물채소전
1153,고추장볶음
1154,파래볶음
1155,돼지고기피망잡채
1156,부추잡채
1157,세발낙지볶음
1158,양념두부
1159,폭찹
1160,꽈리고추오징어조림
1161,닭다리조림
1162,삶은땅콩조림
1163,임연수조림
1164,동태까스
1165,뱅어포튀김
1166,연어튀김
1167,장어튀김
1168,참치강정
1169,숙주미나리나물
1170,양배추나물
1171,갑오징어무침
1172,치커리겉절이
1173,닭고기샐러드
1174,미나리초무침
1175,브로콜리채소무침
1176,쑥갓무침
1177,양배추사과샐러드
1178,양배추오이샐러드
1179,열무겉절이
1180,오징어미역초무침
1181,양념초장
1182,돼지고기덮밥
1183,핫케이크
1184,유부국
1185,김치청국장찌개
1186,동태매운탕
1187,돼지갈비전골
1188,버섯매운탕
1189,돼지고기찜
1190,북어구이
1191,달걀부침
1192,돼지등심장조림
1193,무어묵조림
1194,소시지조림
1195,오징어포조림
1196,삼치튀김
1197,배추숙주나물
1198,호박나물
1199,오이모듬무침
1200,양배추김치
1201,양파장아찌
1202,감자밥
1203,나폴리탄스파게티
1204,가지냉국
1205,감자호박된장국
1206,멸치미역국
1207,버섯국
1208,삼색오이냉국
1209,소고기두부국
1210,애호박된장국
1211,오이미역냉국
1212,망둥어찜
1213,오리간장불고기
1214,껍질콩볶음
1215,유부조림
1216,감자연근튀김
1217,고추장아찌무침
1218,무파래무침
1219,북어채고추장무침
1220,깻잎장아찌
